"National Team","No","Pos","Player","Captain","Age","Caps","Goals","Value","Club","Club Country","Final Squad (26)"
"Morocco","","FW","Soufiane Rahimi","No","30","35","11","$20M","Al-Ain","United Arab Emirates","Yes"
"Morocco","","FW","Abde Ezzalzouli","No","24","35","2","","Real Betis","Spain","Yes"
"Morocco","","FW","Brahim Díaz","No","26","24","13","$58M","Real Madrid","Spain","Yes"
"Morocco","","FW","Chemsdine Talbi","No","21","5","0","$57M","Sunderland","England","Yes"
"Morocco","","FW","Gessime Yassine","No","20","3","0","$6M","Strasbourg","France","Yes"
"Morocco","","FW","Ayoube Amaimouni","No","21","0","0","$16M","Eintracht Frankfurt","Germany","Yes"
"Scotland","","GK","Craig Gordon","No","43","84","0","$205K","Heart of Midlothian","Scotland","Yes"
"Scotland","","GK","Angus Gunn","No","30","21","0","$2M","Nottingham Forest","England","Yes"
"Scotland","","GK","Liam Kelly","No","30","3","0","$788K","Rangers","Scotland","Yes"
"Scotland","","DF","Andy Robertson","Yes","32","93","4","","Liverpool","England","Yes"
"Scotland","","DF","Grant Hanley","No","34","67","2","$521M","Hibernian","Scotland","Yes"
"Scotland","","DF","Kieran Tierney","No","29","55","2","$30M","Celtic","Scotland","Yes"
"Scotland","","DF","Scott McKenna","No","29","50","1","$8M","Dinamo Zagreb","Croatia","Yes"
"Scotland","","DF","Jack Hendry","No","31","37","3","$25M","Al-Ettifaq","Saudi Arabia","Yes"
"Scotland","","DF","Nathan Patterson","No","24","26","1","$22M","Everton","England","Yes"
"Scotland","","DF","Anthony Ralston","No","27","26","1","$773K","Celtic","Scotland","Yes"
"Scotland","","DF","John Souttar","No","29","23","2","$10M","Rangers","Scotland","Yes"
"Scotland","","DF","Aaron Hickey","No","24","20","0","$85M","Brentford","England","Yes"
"Scotland","","DF","Dominic Hyam","No","30","3","0","$9M","Wrexham","Wales","Yes"
"Scotland","","MF","John McGinn","No","31","85","20","$54M","Aston Villa","England","Yes"
"Scotland","","MF","Scott McTominay","No","29","69","14","$172M","Napoli","Italy","Yes"
"Scotland","","MF","Ryan Christie","No","31","67","10","$59M","Bournemouth","England","Yes"
"Scotland","","MF","Kenny McLean","No","34","57","3","$521M","Norwich City","England","Yes"
"Scotland","","MF","Lewis Ferguson","No","26","23","1","$30M","Bologna","Italy","Yes"
"Scotland","","MF","Ben Gannon-Doak","No","20","13","1","$63M","Bournemouth","England","Yes"
"Scotland","","MF","Findlay Curtis","No","20","2","1","$711K","Kilmarnock","Scotland","Yes"
"Scotland","","MF","Tyler Fletcher","No","19","1","0","$4M","Manchester United","England","Yes"
"Scotland","","FW","Lyndon Dykes","No","30","51","10","$4M","Charlton Athletic","England","Yes"
"Scotland","","FW","Ché Adams","No","29","46","11","$21M","Torino","Italy","Yes"
"Scotland","","FW","Lawrence Shankland","No","30","19","6","$13M","Heart of Midlothian","Scotland","Yes"
"Scotland","","FW","George Hirst","No","27","9","1","$30M","Ipswich Town","England","Yes"
"Scotland","","FW","Ross Stewart","No","29","2","0","$19M","Southampton","England","Yes"
"Australia","1","GK","Mathew Ryan","Yes","34","104","0","$521M","Levante","Spain","Yes"
"Australia","2","DF","Miloš Degenek","No","32","56","1","$1M","APOEL","Cyprus","Yes"
"Australia","3","DF","Alessandro Circati","No","22","12","1","$71M","Parma","Italy","Yes"
"Australia","4","DF","Jacob Italiano","No","24","4","0","$2M","GAK","Austria","Yes"
"Australia","5","DF","Jordan Bos","No","23","26","4","$12M","Feyenoord","Netherlands","Yes"
"Australia","6","DF","Jason Geria","No","33","13","0","$574K","Albirex Niigata","Japan","Yes"
"Australia","7","FW","Mathew Leckie","No","35","79","14","$381K","Melbourne City","Australia","Yes"
"Australia","8","MF","Connor Metcalfe","No","26","35","1","$3M","FC St. Pauli","Germany","Yes"
"Australia","9","FW","Mohamed Touré","No","22","9","2","$9M","Norwich City","England","Yes"
"Australia","10","MF","Ajdin Hrustic","No","29","37","4","$4M","Heracles Almelo","Netherlands","Yes"
"Australia","11","FW","Awer Mabil","No","30","38","10","$2M","Castellón","Spain","Yes"
"Australia","12","GK","Paul Izzo","No","31","4","0","$2M","Randers","Denmark","Yes"
"Australia","13","MF","Aiden O'Neill","No","27","30","0","$2M","New York City FC","United States","Yes"
"Australia","14","MF","Cammy Devlin","No","28","4","0","$486K","Heart of Midlothian","Scotland","Yes"
"Australia","15","DF","Kai Trewin","No","25","5","0","$2M","New York City FC","United States","Yes"
"Australia","16","DF","Aziz Behich","No","35","83","3","$521M","Melbourne City","Australia","Yes"
"Australia","17","FW","Nestory Irankunda","No","20","14","5","$12M","Watford","England","Yes"
"Australia","18","GK","Patrick Beach","No","22","1","0","$968K","Melbourne City","Australia","Yes"
"Australia","19","DF","Harry Souttar","No","27","37","11","$5M","Leicester City","England","Yes"
"Australia","20","FW","Cristian Volpato","No","22","0","0","$11M","Sassuolo","Italy","Yes"
"Australia","21","DF","Cameron Burgess","No","30","26","0","$14M","Swansea City","Wales","Yes"
"Australia","22","MF","Jackson Irvine","No","33","81","14","$521M","FC St. Pauli","Germany","Yes"
"Australia","23","FW","Nishan Velupillay","No","25","7","3","$1M","Melbourne Victory","Australia","Yes"
"Australia","24","MF","Paul Okon-Engstler","No","21","5","0","$2M","Sydney FC","Australia","Yes"
"Australia","25","DF","Lucas Herrington","No","18","3","0","$3M","Colorado Rapids","United States","Yes"
"Australia","26","FW","Tete Yengi","No","25","0","0","$76K","Machida Zelvia","Japan","Yes"
"Paraguay","","GK","Gatito Fernández","No","38","30","0","$521M","Cerro Porteño","Paraguay","Yes"
"Paraguay","","GK","Orlando Gill","No","26","5","0","$7M","San Lorenzo","Argentina","Yes"
"Paraguay","","GK","Gastón Olveira","No","33","1","0","$521M","Olimpia","Paraguay","Yes"
"Paraguay","","DF","Gustavo Gómez","Yes","33","88","4","$521M","Palmeiras","Brazil","Yes"
"Paraguay","","DF","Júnior Alonso","No","33","70","3","$521M","Atlético Mineiro","Brazil","Yes"
"Paraguay","","DF","Fabián Balbuena","No","34","47","2","$823K","Grêmio","Brazil","Yes"
"Paraguay","","DF","Omar Alderete","No","29","35","3","$75M","Sunderland","England","Yes"
"Paraguay","","DF","Juan José Cáceres","No","26","16","0","","Dynamo Moscow","Russia","Yes"
"Paraguay","","DF","Gustavo Velázquez","No","35","12","1","$521M","Cerro Porteño","Paraguay","Yes"
"Paraguay","","DF","José Canale","No","29","1","0","$5M","Lanús","Argentina","Yes"
"Paraguay","","DF","Alexandro Maidana","No","20","1","0","$8M","Talleres","Argentina","Yes"
"Paraguay","","MF","Miguel Almirón","No","32","75","9","$16M","Atlanta United FC","United States","Yes"
"Paraguay","","MF","Kaku","No","31","32","5","$2M","Al-Ain","United Arab Emirates","Yes"
"Paraguay","","MF","Andrés Cubas","No","30","32","0","$5M","Vancouver Whitecaps FC","Canada","Yes"
"Paraguay","","MF","Ramón Sosa","No","26","28","1","$14M","Palmeiras","Brazil","Yes"
"Paraguay","","MF","Diego Gómez","No","23","23","3","$66M","Brighton & Hove Albion","England","Yes"
"Paraguay","","MF","Damián Bobadilla","No","24","19","1","$11M","São Paulo","Brazil","Yes"
"Paraguay","","MF","Braian Ojeda","No","25","16","0","$7M","Orlando City SC","United States","Yes"
"Paraguay","","MF","Matías Galarza","No","24","14","2","$15M","Atlanta United FC","United States","Yes"
"Paraguay","","MF","Maurício","No","24","2","0","$2M","Palmeiras","Brazil","Yes"
"Paraguay","","FW","Antonio Sanabria","No","30","47","7","$9M","Cremonese","Italy","Yes"
"Paraguay","","FW","Julio Enciso","No","22","31","4","$96M","Strasbourg","France","Yes"
"Paraguay","","FW","Gabriel Ávalos","No","34","22","2","$521M","Independiente","Argentina","Yes"
"Paraguay","","FW","Álex Arce","No","30","14","1","$13M","Independiente Rivadavia","Argentina","Yes"
"Paraguay","","FW","Isidro Pitta","No","26","5","0","$13M","Red Bull Bragantino","Brazil","Yes"
"Paraguay","","FW","Gustavo Caballero","No","24","2","1","$2M","Portsmouth","England","Yes"
"Turkey","","GK","Uğurcan Çakır","No","30","38","0","$30M","Galatasaray","Turkey","Yes"
"Turkey","","GK","Mert Günok","No","37","37","0","$762K","Fenerbahçe","Turkey","Yes"
"Turkey","","GK","Altay Bayındır","No","28","11","0","$10M","Manchester United","England","Yes"
"Turkey","","GK","Ersin Destanoğlu","No","25","0","0","$3M","Beşiktaş","Turkey","Yes"
"Turkey","","GK","Muhammed Şengezer","No","29","0","0","$8M","İstanbul Başakşehir","Turkey","Yes"
"Turkey","","DF","Merih Demiral","No","28","61","6","$67M","Al-Ahli","Saudi Arabia","Yes"
"Turkey","","DF","Zeki Çelik","No","29","59","3","$32M","Roma","Italy","Yes"
"Turkey","","DF","Çağlar Söyüncü","No","30","59","2","$17M","Fenerbahçe","Turkey","Yes"
"Turkey","","DF","Mert Müldür","No","27","43","3","$3M","Fenerbahçe","Turkey","Yes"
"Turkey","","DF","Ferdi Kadıoğlu","No","26","30","2","$53M","Brighton & Hove Albion","England","Yes"
"Turkey","","DF","Ozan Kabak","No","26","28","2","$9M","TSG Hoffenheim","Germany","Yes"
"Turkey","","DF","Abdülkerim Bardakcı","No","31","26","2","$13M","Galatasaray","Turkey","Yes"
"Turkey","","DF","Eren Elmalı","No","25","21","0","$9M","Galatasaray","Turkey","Yes"
"Turkey","","DF","Samet Akaydin","No","32","18","1","$5M","Çaykur Rizespor","Turkey","Yes"
"Turkey","","DF","Yusuf Akçiçek","No","20","3","0","$60M","Al-Hilal","Saudi Arabia","Yes"
"Turkey","","DF","Mustafa Eskihellaç","No","29","3","0","$6M","Trabzonspor","Turkey","Yes"
"Turkey","","DF","Ahmetcan Kaplan","No","23","0","0","$17M","NEC","Netherlands","Yes"
"Turkey","","MF","Hakan Çalhanoğlu","Yes","32","104","22","$130M","Inter Milan","Italy","Yes"
"Turkey","","MF","Kaan Ayhan","No","31","72","5","$4M","Galatasaray","Turkey","Yes"
"Turkey","","MF","Orkun Kökçü","No","25","48","3","$37M","Beşiktaş","Turkey","Yes"
"Turkey","","MF","İsmail Yüksek","No","27","31","1","$15M","Fenerbahçe","Turkey","Yes"
"Turkey","","MF","Salih Özcan","No","28","28","1","$6M","Borussia Dortmund","Germany","Yes"
"Turkey","","MF","Atakan Karazor","No","29","2","0","$14M","VfB Stuttgart","Germany","Yes"
"Turkey","","MF","Demir Ege Tıknaz","No","21","1","0","$60M","Braga","Portugal","Yes"
"Turkey","","FW","Kerem Aktürkoğlu","No","27","51","15","$42M","Fenerbahçe","Turkey","Yes"
"Turkey","","FW","İrfan Can Kahveci","No","30","45","6","$4M","Kasımpaşa","Turkey","Yes"
"Turkey","","FW","Barış Alper Yılmaz","No","26","33","2","$61M","Galatasaray","Turkey","Yes"
"Turkey","","FW","Arda Güler","No","21","28","6","$167M","Real Madrid","Spain","Yes"
"Turkey","","FW","Kenan Yıldız","No","21","28","5","$205M","Juventus","Italy","Yes"
"Turkey","","FW","Yunus Akgün","No","25","17","3","$36M","Galatasaray","Turkey","Yes"
"Turkey","","FW","Oğuz Aydın","No","25","9","0","$6M","Fenerbahçe","Turkey","Yes"
"Turkey","","FW","Deniz Gül","No","21","6","1","$11M","Porto","Portugal","Yes"
"Turkey","","FW","Yusuf Sarı","No","27","6","1","$4M","İstanbul Başakşehir","Turkey","Yes"
"Turkey","","FW","Can Uzun","No","20","4","0","$147M","Eintracht Frankfurt","Germany","Yes"
"Turkey","","FW","Aral Şimşir","No","23","0","0","$14M","Midtjylland","Denmark","Yes"
"United States","1","GK","Matt Turner","No","31","54","0","$12M","New England Revolution","United States","Yes"
"United States","2","DF","Sergiño Dest","No","25","38","3","$36M","PSV Eindhoven","Netherlands","Yes"
"United States","3","DF","Chris Richards","No","26","36","3","$52M","Crystal Palace","England","Yes"
"United States","4","MF","Tyler Adams","No","27","53","2","$75M","Bournemouth","England","Yes"
"United States","5","DF","Antonee Robinson","No","28","53","4","$69M","Fulham","England","Yes"
"United States","6","DF","Auston Trusty","No","27","7","0","$18M","Celtic","Scotland","Yes"
"United States","7","MF","Giovanni Reyna","No","23","37","9","$65M","Borussia Mönchengladbach","Germany","Yes"
"United States","8","MF","Weston McKennie","No","27","65","12","$79M","Juventus","Italy","Yes"
"United States","9","FW","Ricardo Pepi","No","23","36","13","$48M","PSV Eindhoven","Netherlands","Yes"
"United States","10","FW","Christian Pulisic","No","27","85","33","$129M","Milan","Italy","Yes"
"United States","11","FW","Brenden Aaronson","No","25","57","9","$45M","Leeds United","England","Yes"
"United States","12","DF","Miles Robinson","No","29","39","3","$12M","FC Cincinnati","United States","Yes"
"United States","13","DF","Tim Ream","Yes","38","81","1","$521M","Charlotte FC","United States","Yes"
"United States","14","MF","Sebastian Berhalter","No","25","12","1","$8M","Vancouver Whitecaps FC","Canada","Yes"
"United States","15","MF","Cristian Roldan","No","31","46","0","$10M","Seattle Sounders FC","United States","Yes"
"United States","16","DF","Alex Freeman","No","21","16","2","$27M","Villarreal","Spain","Yes"
"United States","17","MF","Malik Tillman","No","24","29","3","$150M","Bayer Leverkusen","Germany","Yes"
"United States","18","DF","Maximilian Arfsten","No","25","19","1","","Columbus Crew","United States","Yes"
"United States","19","FW","Haji Wright","No","28","20","7","$23M","Coventry City","England","Yes"
"United States","20","FW","Folarin Balogun","No","24","26","9","$46M","Monaco","France","Yes"
"United States","21","FW","Timothy Weah","No","26","50","7","$23M","Marseille","France","Yes"
"United States","22","DF","Mark McKenzie","No","27","28","0","$11M","Toulouse","France","Yes"
"United States","23","DF","Joe Scally","No","23","25","0","$43M","Borussia Mönchengladbach","Germany","Yes"
"United States","24","GK","Matt Freese","No","27","14","0","$12M","New York City FC","United States","Yes"
"United States","25","GK","Chris Brady","No","22","1","0","$10M","Chicago Fire FC","United States","Yes"
"United States","26","FW","Alejandro Zendejas","No","28","14","2","$17M","América","Mexico","Yes"
"Curaçao","1","GK","Eloy Room","No","37","71","0","$521M","Miami FC","United States","Yes"
"Curaçao","2","DF","Shurandy Sambo","No","24","7","0","$8M","Sparta Rotterdam","Netherlands","Yes"
"Curaçao","3","DF","Juriën Gaari","No","32","59","1","$2M","Abha","Saudi Arabia","Yes"
"Curaçao","4","DF","Roshon van Eijma","No","28","27","1","$1M","RKC Waalwijk","Netherlands","Yes"
"Curaçao","5","DF","Sherel Floranus","No","27","27","0","$4M","PEC Zwolle","Netherlands","Yes"
"Curaçao","6","MF","Godfried Roemeratoe","No","26","27","1","$2M","RKC Waalwijk","Netherlands","Yes"
"Curaçao","7","MF","Juninho Bacuna","No","28","48","14","$3M","Volendam","Netherlands","Yes"
"Curaçao","8","MF","Livano Comenencia","No","22","19","1","$4M","Zürich","Switzerland","Yes"
"Curaçao","9","FW","Jürgen Locadia","No","32","13","1","$521M","Miami FC","United States","Yes"
"Curaçao","10","MF","Leandro Bacuna","Yes","34","71","16","$521M","Iğdır","Turkey","Yes"
"Curaçao","11","FW","Jeremy Antonisse","No","24","26","3","$1M","Kifisia","Greece","Yes"
"Curaçao","12","FW","Sontje Hansen","No","24","5","1","$8M","Middlesbrough","England","Yes"
"Curaçao","13","MF","Tyrese Noslin","No","23","6","1","$6M","Telstar","Netherlands","Yes"
"Curaçao","14","FW","Kenji Gorré","No","31","37","6","$2M","Maccabi Haifa","Israel","Yes"
"Curaçao","15","MF","Ar'jany Martha","No","22","8","2","$3M","Rotherham United","England","Yes"
"Curaçao","16","FW","Jearl Margaritha","No","26","21","5","$658K","Beveren","Belgium","Yes"
"Curaçao","17","FW","Brandley Kuwas","No","33","34","2","$1M","Volendam","Netherlands","Yes"
"Curaçao","18","DF","Armando Obispo","No","27","5","0","$5M","PSV Eindhoven","Netherlands","Yes"
"Curaçao","19","FW","Gervane Kastaneer","No","30","28","9","$152K","Terengganu","Malaysia","Yes"
"Curaçao","20","DF","Joshua Brenet","No","32","17","1","$2M","Kayserispor","Turkey","Yes"
"Curaçao","21","FW","Tahith Chong","No","26","5","3","$6M","Sheffield United","England","Yes"
"Curaçao","22","MF","Kevin Felida","No","26","19","1","$1M","Den Bosch","Netherlands","Yes"
"Curaçao","23","DF","Riechedly Bazoer","No","29","4","0","$8M","Konyaspor","Turkey","Yes"
"Curaçao","24","DF","Deveron Fonville","No","23","1","0","$3M","NEC","Netherlands","Yes"
"Curaçao","25","GK","Tyrick Bodak","No","24","4","0","$16K","Telstar","Netherlands","Yes"
"Curaçao","26","GK","Trevor Doornbusch","No","26","7","0","$104K","VVV-Venlo","Netherlands","Yes"
"Ecuador","1","GK","Hernán Galíndez","No","39","34","0","$521M","Huracán","Argentina","Yes"
"Ecuador","2","DF","Félix Torres","No","29","48","5","$7M","Internacional","Brazil","Yes"
"Ecuador","3","DF","Piero Hincapié","No","24","51","3","$90M","Arsenal","England","Yes"
"Ecuador","4","DF","Joel Ordóñez","No","22","16","0","$36M","Club Brugge","Belgium","Yes"
"Ecuador","5","MF","Jordy Alcívar","No","26","10","1","$2M","Independiente del Valle","Ecuador","Yes"
"Ecuador","6","DF","Willian Pacho","No","24","34","2","$251M","Paris Saint-Germain","France","Yes"
"Ecuador","7","DF","Pervis Estupiñán","No","28","53","4","$34M","Milan","Italy","Yes"
"Ecuador","8","MF","Denil Castillo","No","22","5","0","$12M","Midtjylland","Denmark","Yes"
"Ecuador","9","MF","John Yeboah","No","25","22","3","$3M","Venezia","Italy","Yes"
"Ecuador","10","MF","Kendry Páez","No","19","25","2","$46M","River Plate","Argentina","Yes"
"Ecuador","11","FW","Kevin Rodríguez","No","26","31","2","$3M","Union Saint-Gilloise","Belgium","Yes"
"Ecuador","12","GK","Moisés Ramírez","No","25","7","0","$3M","Kifisia","Greece","Yes"
"Ecuador","13","FW","Enner Valencia","Yes","36","105","49","$521M","Pachuca","Mexico","Yes"
"Ecuador","14","MF","Alan Minda","No","23","19","2","$6M","Atlético Mineiro","Brazil","Yes"
"Ecuador","15","MF","Pedro Vite","No","24","16","1","$6M","UNAM","Mexico","Yes"
"Ecuador","16","FW","Anthony Valencia","No","22","2","1","$3M","Antwerp","Belgium","Yes"
"Ecuador","17","DF","Ángelo Preciado","No","28","54","0","$10M","Atlético Mineiro","Brazil","Yes"
"Ecuador","18","FW","Jordy Caicedo","No","28","19","3","$118K","Huracán","Argentina","Yes"
"Ecuador","19","MF","Gonzalo Plata","No","25","49","8","$12M","Flamengo","Brazil","Yes"
"Ecuador","20","FW","Nilson Angulo","No","22","13","1","$14M","Sunderland","England","Yes"
"Ecuador","21","MF","Alan Franco","No","27","57","1","$9M","Atlético Mineiro","Brazil","Yes"
"Ecuador","22","GK","Gonzalo Valle","No","30","3","0","$2M","LDU Quito","Ecuador","Yes"
"Ecuador","23","MF","Moisés Caicedo","No","24","60","3","$286M","Chelsea","England","Yes"
"Ecuador","24","MF","Yaimar Medina","No","21","5","0","$22M","Genk","Belgium","Yes"
"Ecuador","25","DF","Jackson Porozo","No","25","9","1","$3M","Tijuana","Mexico","Yes"
"Ecuador","26","FW","Jeremy Arévalo","No","21","3","0","$10M","VfB Stuttgart","Germany","Yes"
"Germany","1","GK","Manuel Neuer","No","40","124","0","$5M","Bayern Munich","Germany","Yes"
"Germany","2","DF","Antonio Rüdiger","No","33","82","3","$521M","Real Madrid","Spain","Yes"
"Germany","3","DF","Waldemar Anton","No","29","12","0","$83M","Borussia Dortmund","Germany","Yes"
"Germany","4","DF","Jonathan Tah","No","30","46","1","$112M","Bayern Munich","Germany","Yes"
"Germany","5","MF","Aleksandar Pavlović","No","22","10","1","$112M","Bayern Munich","Germany","Yes"
"Germany","6","MF","Joshua Kimmich","Yes","31","109","11","$244M","Bayern Munich","Germany","Yes"
"Germany","7","FW","Kai Havertz","No","27","57","21","$76M","Arsenal","England","Yes"
"Germany","8","MF","Leon Goretzka","No","31","69","15","$42M","Bayern Munich","Germany","Yes"
"Germany","9","MF","Jamie Leweling","No","25","4","1","$49M","VfB Stuttgart","Germany","Yes"
"Germany","10","MF","Jamal Musiala","No","23","41","9","$263M","Bayern Munich","Germany","Yes"
"Germany","11","FW","Nick Woltemade","No","24","11","4","$224M","Newcastle United","England","Yes"
"Germany","12","GK","Oliver Baumann","No","36","12","0","$521M","TSG Hoffenheim","Germany","Yes"
"Germany","13","MF","Pascal Groß","No","34","18","1","$521M","Brighton & Hove Albion","England","Yes"
"Germany","14","FW","Maximilian Beier","No","23","8","0","$147M","Borussia Dortmund","Germany","Yes"
"Germany","15","DF","Nico Schlotterbeck","No","26","26","0","$171M","Borussia Dortmund","Germany","Yes"
"Germany","16","MF","Angelo Stiller","No","25","7","0","$60M","VfB Stuttgart","Germany","Yes"
"Germany","17","MF","Florian Wirtz","No","23","40","11","$476M","Liverpool","England","Yes"
"Germany","18","DF","Nathaniel Brown","No","22","4","0","$129M","Eintracht Frankfurt","Germany","Yes"
"Germany","19","MF","Leroy Sané","No","30","75","16","$95M","Galatasaray","Turkey","Yes"
"Germany","20","MF","Nadiem Amiri","No","29","10","1","$41M","Mainz 05","Germany","Yes"
"Germany","21","GK","Alexander Nübel","No","29","3","0","$17M","VfB Stuttgart","Germany","Yes"
"Germany","22","DF","David Raum","No","28","36","1","$60M","RB Leipzig","Germany","Yes"
"Germany","23","MF","Felix Nmecha","No","25","7","1","$114M","Borussia Dortmund","Germany","Yes"
"Germany","24","DF","Malick Thiaw","No","24","5","0","$69M","Newcastle United","England","Yes"
"Germany","25","MF","Lennart Karl","No","18","3","0","$35M","Bayern Munich","Germany","Yes"
"Germany","26","FW","Deniz Undav","No","29","8","6","$85M","VfB Stuttgart","Germany","Yes"
"Ivory Coast","","GK","Yahia Fofana","No","25","34","0","$10M","Çaykur Rizespor","Turkey","Yes"
"Ivory Coast","","GK","Alban Lafont","No","27","4","0","$5M","Panathinaikos","Greece","Yes"
"Ivory Coast","","GK","Mohamed Koné","No","24","0","0","$289K","Charleroi","Belgium","Yes"
"Ivory Coast","","DF","Ghislain Konan","No","30","53","0","$12M","Gil Vicente","Portugal","Yes"
"Ivory Coast","","DF","Odilon Kossounou","No","25","35","0","$51M","Atalanta","Italy","Yes"
"Ivory Coast","","DF","Wilfried Singo","No","25","33","1","$62M","Galatasaray","Turkey","Yes"
"Ivory Coast","","DF","Evan Ndicka","No","26","28","0","","Roma","Italy","Yes"
"Ivory Coast","","DF","Emmanuel Agbadou","No","29","19","2","$27M","Beşiktaş","Turkey","Yes"
"Ivory Coast","","DF","Guéla Doué","No","23","19","2","$17M","Strasbourg","France","Yes"
"Ivory Coast","","DF","Ousmane Diomande","No","22","14","1","$120M","Sporting CP","Portugal","Yes"
"Ivory Coast","","DF","Christopher Opéri","No","29","11","0","$8M","İstanbul Başakşehir","Turkey","Yes"
"Ivory Coast","","MF","Franck Kessié","Yes","29","102","15","$83M","Al-Ahli","Saudi Arabia","Yes"
"Ivory Coast","","MF","Jean Michaël Seri","No","34","65","4","$521M","Maribor","Slovenia","Yes"
"Ivory Coast","","MF","Ibrahim Sangaré","No","28","57","12","$66M","Nottingham Forest","England","Yes"
"Ivory Coast","","MF","Seko Fofana","No","31","31","7","$14M","Porto","Portugal","Yes"
"Ivory Coast","","MF","Christ Inao Oulaï","No","20","8","0","$54M","Trabzonspor","Turkey","Yes"
"Ivory Coast","","MF","Parfait Guiagon","No","25","5","0","$4M","Charleroi","Belgium","Yes"
"Ivory Coast","","FW","Nicolas Pépé","No","31","54","12","$91M","Villarreal","Spain","Yes"
"Ivory Coast","","FW","Oumar Diakité","No","22","28","6","$10M","Cercle Brugge","Belgium","Yes"
"Ivory Coast","","FW","Simon Adingra","No","24","28","5","$54M","Monaco","France","Yes"
"Ivory Coast","","FW","Evann Guessand","No","24","21","4","$69M","Crystal Palace","England","Yes"
"Ivory Coast","","FW","Amad Diallo","No","23","18","5","","Manchester United","England","Yes"
"Ivory Coast","","FW","Yan Diomande","No","19","9","3","$146M","RB Leipzig","Germany","Yes"
"Ivory Coast","","FW","Bazoumana Touré","No","20","5","2","$117M","TSG Hoffenheim","Germany","Yes"
"Ivory Coast","","FW","Elye Wahi","No","23","1","0","$72M","Nice","France","Yes"
"Ivory Coast","","FW","Ange-Yoan Bonny","No","22","0","0","","Inter Milan","Italy","Yes"
"Japan","1","GK","Zion Suzuki","No","23","24","0","$63M","Parma","Italy","Yes"
"Japan","2","DF","Yukinari Sugawara","No","25","21","2","$32M","Werder Bremen","Germany","Yes"
"Japan","3","DF","Shōgo Taniguchi","No","34","38","1","$521M","Sint-Truiden","Belgium","Yes"
"Japan","4","DF","Kō Itakura","No","29","40","2","$31M","Ajax","Netherlands","Yes"
"Japan","5","DF","Yūto Nagatomo","No","39","145","4","$521M","FC Tokyo","Japan","Yes"
"Japan","6","MF","Wataru Endo","Yes","33","73","4","$45M","Liverpool","England","Yes"
"Japan","7","MF","Ao Tanaka","No","27","38","8","$63M","Leeds United","England","Yes"
"Japan","8","MF","Takefusa Kubo","No","25","49","7","$125M","Real Sociedad","Spain","Yes"
"Japan","9","FW","Keisuke Gotō","No","21","4","0","$5M","Sint-Truiden","Belgium","Yes"
"Japan","10","MF","Ritsu Dōan","No","27","65","11","$51M","Eintracht Frankfurt","Germany","Yes"
"Japan","11","FW","Daizen Maeda","No","28","27","4","$34M","Celtic","Scotland","Yes"
"Japan","12","GK","Keisuke Ōsako","No","26","11","0","$6M","Sanfrecce Hiroshima","Japan","Yes"
"Japan","13","MF","Keito Nakamura","No","25","25","10","$20M","Reims","France","Yes"
"Japan","14","MF","Junya Itō","No","33","69","15","$521M","Genk","Belgium","Yes"
"Japan","15","MF","Daichi Kamada","No","29","49","12","$44M","Crystal Palace","England","Yes"
"Japan","16","DF","Tsuyoshi Watanabe","No","29","11","0","$31M","Feyenoord","Netherlands","Yes"
"Japan","17","FW","Yuito Suzuki","No","24","6","0","$17M","SC Freiburg","Germany","Yes"
"Japan","18","FW","Ayase Ueda","No","27","39","16","$45M","Feyenoord","Netherlands","Yes"
"Japan","19","FW","Kōki Ogawa","No","28","15","11","$10M","NEC","Netherlands","Yes"
"Japan","20","DF","Ayumu Seko","No","26","14","0","$9M","Le Havre","France","Yes"
"Japan","21","DF","Hiroki Itō","No","27","24","1","$26M","Bayern Munich","Germany","Yes"
"Japan","22","DF","Takehiro Tomiyasu","No","27","43","1","$39M","Ajax","Netherlands","Yes"
"Japan","23","GK","Tomoki Hayakawa","No","27","4","0","$7M","Kashima Antlers","Japan","Yes"
"Japan","24","MF","Kaishū Sano","No","25","13","0","$29M","Mainz 05","Germany","Yes"
"Japan","25","DF","Junnosuke Suzuki","No","22","6","0","$16M","Copenhagen","Denmark","Yes"
"Japan","26","FW","Kento Shiogai","No","21","2","0","$5M","VfL Wolfsburg","Germany","Yes"
"Netherlands","","GK","Bart Verbruggen","No","23","27","0","$85M","Brighton & Hove Albion","England","Yes"
"Netherlands","","GK","Mark Flekken","No","32","11","0","$521M","Bayer Leverkusen","Germany","Yes"
"Netherlands","","GK","Robin Roefs","No","23","0","0","$46M","Sunderland","England","Yes"
"Netherlands","","DF","Virgil van Dijk","Yes","34","90","12","$521M","Liverpool","England","Yes"
"Netherlands","","DF","Denzel Dumfries","No","30","71","11","$38M","Inter Milan","Italy","Yes"
"Netherlands","","DF","Nathan Aké","No","31","58","5","$79M","Manchester City","England","Yes"
"Netherlands","","DF","Jurriën Timber","No","24","23","0","$140M","Arsenal","England","Yes"
"Netherlands","","DF","Micky van de Ven","No","25","19","1","$132M","Tottenham Hotspur","England","Yes"
"Netherlands","","DF","Mats Wieffer","No","26","14","1","$74M","Brighton & Hove Albion","England","Yes"
"Netherlands","","DF","Jan Paul van Hecke","No","26","10","0","$101M","Brighton & Hove Albion","England","Yes"
"Netherlands","","DF","Jorrel Hato","No","20","7","0","$108M","Chelsea","England","Yes"
"Netherlands","","MF","Frenkie de Jong","No","29","64","2","$139M","Barcelona","Spain","Yes"
